Condition,SplitPerSession,Features,LearningRate,LossFunction,Iterations,Accuracy,Precision,Recall,F-Score,AUC,AverageLogLoss,TrainingLogLoss,HiddenNodes,Momentum,InitialLearningWeightsDiameter
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.952555,0.941341,0.778291,0.852086,0.978215,0.142983,69.226996,30,0.03,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.951744,0.933702,0.7806,0.850314,0.973121,0.152542,67.169538,30,0.03,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.951744,0.915344,0.799076,0.853268,0.971471,0.163083,64.900944,30,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.949716,0.918699,0.78291,0.845387,0.976594,0.142124,69.411915,30,0.03,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.9485,0.966463,0.732102,0.833114,0.977033,0.15874,65.835676,30,0.03,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.948094,0.908847,0.78291,0.841191,0.970244,0.163634,64.782295,30,0.03,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.941606,0.898072,0.752887,0.819095,0.967853,0.168644,63.704242,30,0.03,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.926602,0.868421,0.685912,0.766452,0.958534,0.192149,58.645329,30,0.03,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.915653,0.837838,0.644342,0.72846,0.949797,0.238484,48.673071,30,0.03,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.896999,0.754986,0.612009,0.67602,0.930861,0.353056,24.014695,30,0.03,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.970397,0.947761,0.879908,0.912575,0.984598,0.192735,58.519174,20,0.03,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.969181,0.956522,0.863741,0.907767,0.982524,0.272312,41.39258,20,0.03,0.2
Awake vs Sleep,100,5,0.1,SquaredError,28657,0.967964,0.951531,0.861432,0.904242,0.981022,0.2339,49.659622,20,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.967559,0.944584,0.866051,0.903614,0.984666,0.209921,54.82049,20,0.03,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,28657,0.967559,0.91924,0.893764,0.906323,0.987962,0.162189,65.093348,20,0.03,0.2
Awake vs Sleep,100,5,0.3,SquaredError,1597,0.967153,0.955959,0.852194,0.901099,0.977461,0.181538,60.928978,20,0.03,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.967153,0.937811,0.87067,0.902994,0.982913,0.201432,56.647507,20,0.03,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,28657,0.967153,0.921053,0.889145,0.904818,0.983321,0.191681,58.74598,20,0.03,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.965531,0.935,0.863741,0.897959,0.984035,0.192057,58.665139,20,0.03,0.2
Awake vs Sleep,100,5,0.3,SquaredError,28657,0.96472,0.919903,0.875289,0.897041,0.979103,0.414773,10.731731,20,0.03,0.2
Awake vs Sleep,100,5,0.2,SquaredError,28657,0.96472,0.926108,0.86836,0.896305,0.977473,0.236919,49.009853,20,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,1597,0.964315,0.96496,0.82679,0.890547,0.984183,0.136718,70.575225,20,0.03,0.2
Awake vs Sleep,100,5,0.01,SquaredError,28657,0.963504,0.954907,0.831409,0.888889,0.97462,0.14693,68.37749,20,0.03,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,1597,0.962693,0.967123,0.815242,0.884712,0.983834,0.146636,68.440769,20,0.03,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,28657,0.962693,0.906921,0.877598,0.892019,0.979537,0.169295,63.563924,20,0.03,0.2
Awake vs Sleep,100,5,0.2,SquaredError,1597,0.961882,0.937984,0.838337,0.885366,0.973609,0.170292,63.349451,20,0.03,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,1597,0.96026,0.961433,0.806005,0.876884,0.97982,0.145839,68.612279,20,0.03,0.2
Awake vs Sleep,100,5,0.05,SquaredError,1597,0.96026,0.961433,0.806005,0.876884,0.980347,0.138265,70.242329,20,0.03,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,1597,0.96026,0.949062,0.817552,0.878412,0.981629,0.153974,66.861535,20,0.03,0.2
Awake vs Sleep,100,5,0.1,SquaredError,1597,0.959043,0.958564,0.801386,0.872956,0.976503,0.161372,65.26933,20,0.03,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,1597,0.957826,0.96338,0.789838,0.86802,0.982304,0.157395,66.125078,20,0.03,0.2
Awake vs Sleep,100,5,0.3,SquaredError,233,0.957421,0.960674,0.789838,0.86692,0.972957,0.16694,64.070863,20,0.03,0.2
Awake vs Sleep,100,5,0.03,SquaredError,1597,0.957015,0.947945,0.799076,0.867168,0.979571,0.130775,71.854409,20,0.03,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,1597,0.95661,0.957865,0.787529,0.864385,0.978388,0.148747,67.986403,20,0.03,0.2
Awake vs Sleep,100,5,0.2,SquaredError,233,0.954988,0.96,0.775982,0.858238,0.975073,0.156868,66.238505,20,0.03,0.2
Awake vs Sleep,100,5,0.3,CrossEntropy,233,0.953771,0.914286,0.812933,0.860636,0.977875,0.158327,65.924631,20,0.03,0.2
Awake vs Sleep,100,5,0.1,CrossEntropy,233,0.953771,0.962319,0.766744,0.85347,0.975896,0.161672,65.204748,20,0.03,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,233,0.95296,0.956772,0.766744,0.851282,0.977001,0.154122,66.829613,20,0.03,0.2
Awake vs Sleep,100,5,0.2,CrossEntropy,233,0.952149,0.972973,0.748268,0.845953,0.977111,0.156661,66.283211,20,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,233,0.950933,0.938202,0.771363,0.846641,0.975849,0.144379,68.926485,20,0.03,0.2
Awake vs Sleep,100,5,0.1,SquaredError,233,0.948094,0.913279,0.778291,0.840399,0.972469,0.157449,66.113561,20,0.03,0.2
Awake vs Sleep,100,5,0.01,SquaredError,1597,0.947689,0.897906,0.792148,0.841718,0.970242,0.161819,65.173099,20,0.03,0.2
Awake vs Sleep,100,5,0.05,SquaredError,233,0.943633,0.901639,0.762125,0.826033,0.969476,0.16349,64.813432,20,0.03,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,233,0.93309,0.889535,0.706697,0.787645,0.96494,0.176038,62.112778,20,0.03,0.2
Awake vs Sleep,100,5,0.03,SquaredError,233,0.930657,0.892216,0.688222,0.777053,0.962976,0.184904,60.204592,20,0.03,0.2
Awake vs Sleep,100,5,0.01,SquaredError,233,0.897405,0.755682,0.614319,0.677707,0.93088,0.338652,27.114806,20,0.03,0.2
Awake vs Sleep,100,5,0.03,SquaredError,28657,0.969992,0.966234,0.859122,0.909535,0.97522,0.160359,65.487339,10,0.03,0.2
Awake vs Sleep,100,5,0.05,CrossEntropy,28657,0.965937,0.928747,0.872979,0.9,0.984565,0.163642,64.780571,10,0.03,0.2
Awake vs Sleep,100,5,0.03,CrossEntropy,28657,0.96472,0.934673,0.859122,0.895307,0.981524,0.15219,67.245331,10,0.03,0.2
Awake vs Sleep,100,5,0.05,SquaredError,28657,0.96472,0.934673,0.859122,0.895307,0.978555,0.165995,64.274241,10,0.03,0.2
Awake vs Sleep,100,5,0.01,CrossEntropy,28657,0.96472,0.939086,0.854503,0.8948,0.983453,0.134504,71.051707,10,0.03,0.2
